year,parent_entity,parent_type,total_emissions_MtCO2e
2016,Adaro Energy,Investor-owned Company,106.41261319363436210000
2017,Adaro Energy,Investor-owned Company,105.44165894864903000000
2018,Adaro Energy,Investor-owned Company,114.49811262355225000000
2019,Adaro Energy,Investor-owned Company,122.11646578553454200000
2020,Adaro Energy,Investor-owned Company,114.75117834370496600000
2021,Adaro Energy,Investor-owned Company,109.10253766889189000000
2022,Adaro Energy,Investor-owned Company,130.15357184558133900000
1996,Alliance Resource Partners,Investor-owned Company,22.16025695492802700000
1997,Alliance Resource Partners,Investor-owned Company,26.83853342319061000000
1998,Alliance Resource Partners,Investor-owned Company,32.99416035511506000000
1999,Alliance Resource Partners,Investor-owned Company,34.71773589605391000000
2000,Alliance Resource Partners,Investor-owned Company,33.73283558694599500000
2001,Alliance Resource Partners,Investor-owned Company,38.65733713248555000000
2002,Alliance Resource Partners,Investor-owned Company,44.32051390985605400000
2003,Alliance Resource Partners,Investor-owned Company,47.27521483717979000000
2004,Alliance Resource Partners,Investor-owned Company,50.17328399672982000000
2005,Alliance Resource Partners,Investor-owned Company,56.38554269642797600000
2006,Alliance Resource Partners,Investor-owned Company,58.35534331464381000000
2007,Alliance Resource Partners,Investor-owned Company,59.83269377830567500000
2008,Alliance Resource Partners,Investor-owned Company,65.07482567353253000000
2009,Alliance Resource Partners,Investor-owned Company,63.61963546682560000000
2010,Alliance Resource Partners,Investor-owned Company,71.06055730213588000000
2011,Alliance Resource Partners,Investor-owned Company,75.72159801498907000000
2012,Alliance Resource Partners,Investor-owned Company,85.68632689238837000000
2013,Alliance Resource Partners,Investor-owned Company,95.49100946955764000000
2014,Alliance Resource Partners,Investor-owned Company,100.33425673959580000000
2015,Alliance Resource Partners,Investor-owned Company,101.39056232111403000000
2016,Alliance Resource Partners,Investor-owned Company,86.77956623549815000000
2017,Alliance Resource Partners,Investor-owned Company,92.60278931309870000000
2018,Alliance Resource Partners,Investor-owned Company,99.14498961634798000000
2019,Alliance Resource Partners,Investor-owned Company,99.15096811244135865000
2020,Alliance Resource Partners,Investor-owned Company,67.23353452350612463000
2021,Alliance Resource Partners,Investor-owned Company,80.02745357506549688000
2022,Alliance Resource Partners,Investor-owned Company,88.30926533209606474000
1981,Alpha Metallurgical Resources,Investor-owned Company,35.36244154230177400000
1982,Alpha Metallurgical Resources,Investor-owned Company,46.78451016225994200000
1983,Alpha Metallurgical Resources,Investor-owned Company,45.98684611819620100000
1984,Alpha Metallurgical Resources,Investor-owned Company,59.42344627470093000000
1985,Alpha Metallurgical Resources,Investor-owned Company,61.60944962577962500000
1986,Alpha Metallurgical Resources,Investor-owned Company,58.63587925384424600000
1987,Alpha Metallurgical Resources,Investor-owned Company,44.78025304658736900000
1988,Alpha Metallurgical Resources,Investor-owned Company,42.91230561766195200000
1989,Alpha Metallurgical Resources,Investor-owned Company,42.65988031520426400000
1990,Alpha Metallurgical Resources,Investor-owned Company,47.20353618569829400000
1991,Alpha Metallurgical Resources,Investor-owned Company,42.65988031520426400000
1992,Alpha Metallurgical Resources,Investor-owned Company,45.43655890730296900000
1993,Alpha Metallurgical Resources,Investor-owned Company,55.53357198930820000000
1994,Alpha Metallurgical Resources,Investor-owned Company,63.98982045914950000000
1995,Alpha Metallurgical Resources,Investor-owned Company,72.44606892899078400000
1996,Alpha Metallurgical Resources,Investor-owned Company,80.52367938089799400000
1997,Alpha Metallurgical Resources,Investor-owned Company,87.20790204842916800000
1998,Alpha Metallurgical Resources,Investor-owned Company,97.48795211860361000000
1999,Alpha Metallurgical Resources,Investor-owned Company,247.53253006891575500000
2000,Alpha Metallurgical Resources,Investor-owned Company,263.28480107840616000000
2001,Alpha Metallurgical Resources,Investor-owned Company,278.17548820292843000000
2002,Alpha Metallurgical Resources,Investor-owned Company,289.03653407850306500000
2003,Alpha Metallurgical Resources,Investor-owned Company,328.28662241433714600000
2004,Alpha Metallurgical Resources,Investor-owned Company,304.90563807239972100000
2005,Alpha Metallurgical Resources,Investor-owned Company,324.41409828603663600000
2006,Alpha Metallurgical Resources,Investor-owned Company,340.01220264423638300000
2007,Alpha Metallurgical Resources,Investor-owned Company,341.13838717979348200000
2008,Alpha Metallurgical Resources,Investor-owned Company,336.38692591601664200000
2009,Alpha Metallurgical Resources,Investor-owned Company,305.39864451141671000000
2010,Alpha Metallurgical Resources,Investor-owned Company,299.47042728841981200000
2011,Alpha Metallurgical Resources,Investor-owned Company,304.95118977099197800000
2012,Alpha Metallurgical Resources,Investor-owned Company,272.54252973459211400000
2013,Alpha Metallurgical Resources,Investor-owned Company,218.61099213383056000000
2014,Alpha Metallurgical Resources,Investor-owned Company,201.17374818779970600000
2015,Alpha Metallurgical Resources,Investor-owned Company,176.68994953298452400000
2016,Alpha Metallurgical Resources,Investor-owned Company,31.11236987436701100000
2017,Alpha Metallurgical Resources,Investor-owned Company,27.10565900341863700000
2018,Alpha Metallurgical Resources,Investor-owned Company,29.51102388303445450000
2019,Alpha Metallurgical Resources,Investor-owned Company,53.79344404799952300000
2020,Alpha Metallurgical Resources,Investor-owned Company,38.11758886544570700000
2021,Alpha Metallurgical Resources,Investor-owned Company,42.50995793742080260000
2022,Alpha Metallurgical Resources,Investor-owned Company,42.41862561242091800000
1988,American Consolidated Natural Resources,Investor-owned Company,2.46225077276978070000
1989,American Consolidated Natural Resources,Investor-owned Company,5.56058299435100500000
1990,American Consolidated Natural Resources,Investor-owned Company,8.65891521839448000000
1991,American Consolidated Natural Resources,Investor-owned Company,11.75724743997570300000
1992,American Consolidated Natural Resources,Investor-owned Company,14.85557966155692900000
1993,American Consolidated Natural Resources,Investor-owned Company,17.95391188560040500000
1994,American Consolidated Natural Resources,Investor-owned Company,21.05224410718163000000
1995,American Consolidated Natural Resources,Investor-owned Company,24.15057632876285000000
1996,American Consolidated Natural Resources,Investor-owned Company,27.24890856019307600000
1997,American Consolidated Natural Resources,Investor-owned Company,30.34724077438754700000
1998,American Consolidated Natural Resources,Investor-owned Company,33.44557298858202000000
1999,American Consolidated Natural Resources,Investor-owned Company,36.54390522739900000000
2000,American Consolidated Natural Resources,Investor-owned Company,39.64223744159347000000
2001,American Consolidated Natural Resources,Investor-owned Company,38.65733713248555000000
2002,American Consolidated Natural Resources,Investor-owned Company,48.75256530084166000000
2003,American Consolidated Natural Resources,Investor-owned Company,47.76766499173375000000
2004,American Consolidated Natural Resources,Investor-owned Company,53.18461669182727000000
2005,American Consolidated Natural Resources,Investor-owned Company,48.94462086111770600000
2006,American Consolidated Natural Resources,Investor-owned Company,50.29393428459554400000
2007,American Consolidated Natural Resources,Investor-owned Company,68.32992119513419000000
2008,American Consolidated Natural Resources,Investor-owned Company,64.16379288760773000000
2009,American Consolidated Natural Resources,Investor-owned Company,61.80249439652149600000
2010,American Consolidated Natural Resources,Investor-owned Company,60.81759408741359000000
2011,American Consolidated Natural Resources,Investor-owned Company,65.24964547839919000000
2012,American Consolidated Natural Resources,Investor-owned Company,71.93711857724192000000
2013,American Consolidated Natural Resources,Investor-owned Company,160.04630023003574000000
2014,American Consolidated Natural Resources,Investor-owned Company,154.66628229153378000000
2015,American Consolidated Natural Resources,Investor-owned Company,136.71401190726930000000
2016,American Consolidated Natural Resources,Investor-owned Company,113.34478982291132000000
2017,American Consolidated Natural Resources,Investor-owned Company,112.94098069617708000000
2018,American Consolidated Natural Resources,Investor-owned Company,114.25336035806336000000
2019,American Consolidated Natural Resources,Investor-owned Company,117.45182411189131000000
2020,American Consolidated Natural Resources,Investor-owned Company,120.65028786571926000000
2021,American Consolidated Natural Resources,Investor-owned Company,120.65028786571926000000
2022,American Consolidated Natural Resources,Investor-owned Company,135.42379250233796000000
1909,Anglo American,Investor-owned Company,0.72614681401029460000
1910,Anglo American,Investor-owned Company,0.85424284148170090000
1911,Anglo American,Investor-owned Company,0.92174429682222040000
1912,Anglo American,Investor-owned Company,0.98924575216273970000
1913,Anglo American,Investor-owned Company,1.05674720750325910000
1914,Anglo American,Investor-owned Company,1.12424866284377840000
1915,Anglo American,Investor-owned Company,1.19175011818429780000
1916,Anglo American,Investor-owned Company,1.25925157352481730000
1917,Anglo American,Investor-owned Company,1.32675302886533690000
1918,Anglo American,Investor-owned Company,1.39425448420585620000
1919,Anglo American,Investor-owned Company,1.46175593954637550000
1920,Anglo American,Investor-owned Company,1.52925739488689500000
1921,Anglo American,Investor-owned Company,2.21870887432855200000
1922,Anglo American,Investor-owned Company,2.90816035377020900000
1923,Anglo American,Investor-owned Company,3.59761183321186670000
1924,Anglo American,Investor-owned Company,4.28706331265352400000
1925,Anglo American,Investor-owned Company,4.97651479209518100000
1926,Anglo American,Investor-owned Company,5.66596627153683800000
1927,Anglo American,Investor-owned Company,6.35541775097849550000
1928,Anglo American,Investor-owned Company,7.04486923042015300000
1929,Anglo American,Investor-owned Company,7.06067331652933000000
1930,Anglo American,Investor-owned Company,7.10523752215772300000
1931,Anglo American,Investor-owned Company,7.74107073692445300000
1932,Anglo American,Investor-owned Company,8.37690395169118300000
1933,Anglo American,Investor-owned Company,9.01273716645791000000
1934,Anglo American,Investor-owned Company,9.64857038122464000000
1935,Anglo American,Investor-owned Company,10.28440359599137000000
1936,Anglo American,Investor-owned Company,10.92023681075810000000
1937,Anglo American,Investor-owned Company,11.55607002552482900000
1938,Anglo American,Investor-owned Company,12.19190324029155700000
1939,Anglo American,Investor-owned Company,12.82773645505828800000
1940,Anglo American,Investor-owned Company,13.46356966982501600000
1941,Anglo American,Investor-owned Company,14.92021356802498400000
1942,Anglo American,Investor-owned Company,16.37685746622495000000
1943,Anglo American,Investor-owned Company,17.83350136442491500000
1944,Anglo American,Investor-owned Company,19.29014526262488300000
1945,Anglo American,Investor-owned Company,20.74678916082485000000
1946,Anglo American,Investor-owned Company,22.20343305902481700000
1947,Anglo American,Investor-owned Company,23.66007695722478000000
1948,Anglo American,Investor-owned Company,25.11672085542475000000
1949,Anglo American,Investor-owned Company,26.57336475362472000000
1950,Anglo American,Investor-owned Company,26.03027759309400600000
1951,Anglo American,Investor-owned Company,25.56175633808890500000
1952,Anglo American,Investor-owned Company,27.22633533175004300000
1953,Anglo American,Investor-owned Company,28.89091432541118000000
1954,Anglo American,Investor-owned Company,28.32572750803785000000
1955,Anglo American,Investor-owned Company,29.21093285255278000000
1956,Anglo American,Investor-owned Company,30.09613819706772000000
1957,Anglo American,Investor-owned Company,30.27699902117559000000
1958,Anglo American,Investor-owned Company,32.78997429222932000000
1959,Anglo American,Investor-owned Company,32.45946986057854400000
1960,Anglo American,Investor-owned Company,34.09621162700525000000
1961,Anglo American,Investor-owned Company,34.55386194541832000000
1962,Anglo American,Investor-owned Company,34.72025030206669500000
1963,Anglo American,Investor-owned Company,34.52921989211466000000
1964,Anglo American,Investor-owned Company,35.91203240753173000000
1965,Anglo American,Investor-owned Company,44.43862593367293000000
1966,Anglo American,Investor-owned Company,42.44593681555942000000
1967,Anglo American,Investor-owned Company,40.45324769744590000000
1968,Anglo American,Investor-owned Company,34.52695116461098500000
1969,Anglo American,Investor-owned Company,28.60065463177605600000
1970,Anglo American,Investor-owned Company,31.08074460881040200000
1971,Anglo American,Investor-owned Company,34.02037393089208000000
1972,Anglo American,Investor-owned Company,36.96000325297375600000
1973,Anglo American,Investor-owned Company,39.89963257505544000000
1974,Anglo American,Investor-owned Company,44.52922498056416960000
1975,Anglo American,Investor-owned Company,48.73203580553053430000
1976,Anglo American,Investor-owned Company,55.53150159311578140000
1977,Anglo American,Investor-owned Company,65.00049343834259000000
1978,Anglo American,Investor-owned Company,80.05117178921715300000
1979,Anglo American,Investor-owned Company,81.67731577119051200000
1980,Anglo American,Investor-owned Company,87.57744349414811800000
1981,Anglo American,Investor-owned Company,87.15456624838521000000
1982,Anglo American,Investor-owned Company,82.29240661071789200000
1983,Anglo American,Investor-owned Company,82.34826003967267100000
1984,Anglo American,Investor-owned Company,89.16954658491981100000
1985,Anglo American,Investor-owned Company,88.93260376469228100000
1986,Anglo American,Investor-owned Company,99.65668229148942100000
1987,Anglo American,Investor-owned Company,102.79085965420088200000
1988,Anglo American,Investor-owned Company,110.92033723483454400000
1989,Anglo American,Investor-owned Company,105.22118595314208000000
1990,Anglo American,Investor-owned Company,105.78213737667133200000
1991,Anglo American,Investor-owned Company,103.11026885099574600000
1992,Anglo American,Investor-owned Company,101.17195670342491000000
1993,Anglo American,Investor-owned Company,110.24609362645875400000
1994,Anglo American,Investor-owned Company,111.11354410471085700000
1995,Anglo American,Investor-owned Company,111.93994488170539600000
1996,Anglo American,Investor-owned Company,116.94521700432183400000
1997,Anglo American,Investor-owned Company,126.88987720054171000000
1998,Anglo American,Investor-owned Company,155.05938303982893500000
1999,Anglo American,Investor-owned Company,159.58938960223988000000
2000,Anglo American,Investor-owned Company,178.02481152806514000000
2001,Anglo American,Investor-owned Company,190.94183517079128000000
2002,Anglo American,Investor-owned Company,197.47674530867371000000
2003,Anglo American,Investor-owned Company,211.48876644639563600000
2004,Anglo American,Investor-owned Company,218.55866851826159500000
2005,Anglo American,Investor-owned Company,222.48563845312666000000
2006,Anglo American,Investor-owned Company,224.55647221861601000000
2007,Anglo American,Investor-owned Company,227.52308929446310500000
2008,Anglo American,Investor-owned Company,244.12841400240211000000
2009,Anglo American,Investor-owned Company,239.36776387394887000000
2010,Anglo American,Investor-owned Company,244.27066165203659000000
2011,Anglo American,Investor-owned Company,233.69329432763268800000
2012,Anglo American,Investor-owned Company,245.86821144276395600000
2013,Anglo American,Investor-owned Company,245.12432115269285500000
2014,Anglo American,Investor-owned Company,249.94329618139396000000
2015,Anglo American,Investor-owned Company,237.48446801343218000000
2016,Anglo American,Investor-owned Company,182.13230674056124500000
2017,Anglo American,Investor-owned Company,127.62965990062612500000
2018,Anglo American,Investor-owned Company,132.43789883853989000000
2019,Anglo American,Investor-owned Company,157.49991708290430000000
2020,Anglo American,Investor-owned Company,137.03412471796168600000
2021,Anglo American,Investor-owned Company,98.46250026222578000000
2022,Anglo American,Investor-owned Company,48.29034126134696300000
2012,Antero,Investor-owned Company,6.37735397219916073200
2013,Antero,Investor-owned Company,13.83832837380584370000
2014,Antero,Investor-owned Company,26.46117219111428740000
2015,Antero,Investor-owned Company,39.03252591393158530000
2016,Antero,Investor-owned Company,48.19395853272010350000
2017,Antero,Investor-owned Company,58.42997339984855890000
2018,Antero,Investor-owned Company,70.25507279401463070000
2019,Antero,Investor-owned Company,83.41907256345741020000
2020,Antero,Investor-owned Company,92.67533552997334400000
2021,Antero,Investor-owned Company,84.64417318148928320000
2022,Antero,Investor-owned Company,82.87281610964520450000
1985,APA Corporation,Investor-owned Company,3.61038282436974070000
1986,APA Corporation,Investor-owned Company,3.61038282436974070000
1987,APA Corporation,Investor-owned Company,3.78123407882089700000
1988,APA Corporation,Investor-owned Company,4.76050960903671940000
1989,APA Corporation,Investor-owned Company,7.41788191623253980000
1990,APA Corporation,Investor-owned Company,8.23686425487187850000
1991,APA Corporation,Investor-owned Company,10.97167649821804750000
1992,APA Corporation,Investor-owned Company,12.01663338858667500000
1993,APA Corporation,Investor-owned Company,15.08753479055686335000
1994,APA Corporation,Investor-owned Company,18.67204659626750365000
1995,APA Corporation,Investor-owned Company,22.96338626154904800000
1996,APA Corporation,Investor-owned Company,23.01173510022508500000
1997,APA Corporation,Investor-owned Company,26.21753328687175300000
1998,APA Corporation,Investor-owned Company,12.22619955236195800000
1999,APA Corporation,Investor-owned Company,31.27889039735089900000
2000,APA Corporation,Investor-owned Company,39.88227961632372900000
2001,APA Corporation,Investor-owned Company,52.72612998608049000000
2002,APA Corporation,Investor-owned Company,52.23959021916756100000
2003,APA Corporation,Investor-owned Company,63.67237130795255300000
2004,APA Corporation,Investor-owned Company,68.08121734633351000000
2005,APA Corporation,Investor-owned Company,69.14386999303242600000
2006,APA Corporation,Investor-owned Company,76.62606109083098000000
2007,APA Corporation,Investor-owned Company,85.91769677596433400000
2008,APA Corporation,Investor-owned Company,81.61866991123352000000
2009,APA Corporation,Investor-owned Company,89.00882216019066600000
2010,APA Corporation,Investor-owned Company,100.18182959790804000000
2011,APA Corporation,Investor-owned Company,114.18100189978429900000
2012,APA Corporation,Investor-owned Company,117.03354227233819500000
2013,APA Corporation,Investor-owned Company,113.97236438897718400000
2014,APA Corporation,Investor-owned Company,97.73791307040641000000
2015,APA Corporation,Investor-owned Company,66.52205101052762800000
2016,APA Corporation,Investor-owned Company,78.52439712344073300000
2017,APA Corporation,Investor-owned Company,68.81150332856387500000
2018,APA Corporation,Investor-owned Company,70.07781885571756300000
2019,APA Corporation,Investor-owned Company,71.26745561093235800000
2020,APA Corporation,Investor-owned Company,66.10173559077752900000
2021,APA Corporation,Investor-owned Company,58.43021033619566200000
2022,APA Corporation,Investor-owned Company,58.29490134731037400000
1973,Arch Resources,Investor-owned Company,26.95217809638240000000
1974,Arch Resources,Investor-owned Company,29.83235210012870600000
1975,Arch Resources,Investor-owned Company,28.94938488456847700000
1976,Arch Resources,Investor-owned Company,29.23362383906190200000
1977,Arch Resources,Investor-owned Company,27.08409267442500000000
1978,Arch Resources,Investor-owned Company,27.76229125217958700000
1979,Arch Resources,Investor-owned Company,27.08409267442500000000
1980,Arch Resources,Investor-owned Company,54.31674446751604700000
1981,Arch Resources,Investor-owned Company,56.31487117651612800000
1982,Arch Resources,Investor-owned Company,62.71981420434207400000
1983,Arch Resources,Investor-owned Company,62.08550786585049600000
1984,Arch Resources,Investor-owned Company,76.06639036260414700000
1985,Arch Resources,Investor-owned Company,82.51895776813611200000
1986,Arch Resources,Investor-owned Company,77.88969882284294900000
1987,Arch Resources,Investor-owned Company,88.13723631422386400000
1988,Arch Resources,Investor-owned Company,99.19971821606747000000
1989,Arch Resources,Investor-owned Company,112.88147852585212000000
1990,Arch Resources,Investor-owned Company,120.37280592641526600000
1991,Arch Resources,Investor-owned Company,116.10518401165816600000
1992,Arch Resources,Investor-owned Company,116.09285478143868000000
1993,Arch Resources,Investor-owned Company,119.69781029932965000000
1994,Arch Resources,Investor-owned Company,119.66939166119899000000
1995,Arch Resources,Investor-owned Company,135.92208468228771000000
1996,Arch Resources,Investor-owned Company,136.75391373349010400000
1997,Arch Resources,Investor-owned Company,135.75112939646721640000
1998,Arch Resources,Investor-owned Company,210.29031443215713700000
1999,Arch Resources,Investor-owned Company,262.90143829303030900000
2000,Arch Resources,Investor-owned Company,282.85110234706448500000
2001,Arch Resources,Investor-owned Company,319.38533412013365600000
2002,Arch Resources,Investor-owned Company,306.47787688227990900000
2003,Arch Resources,Investor-owned Company,299.02561827206641500000
2004,Arch Resources,Investor-owned Company,239.80454260346132000000
2005,Arch Resources,Investor-owned Company,273.11614025935080600000
2006,Arch Resources,Investor-owned Company,262.98629765803998600000
2007,Arch Resources,Investor-owned Company,262.98629765803998600000
2008,Arch Resources,Investor-owned Company,271.94731220346721200000
2009,Arch Resources,Investor-owned Company,245.67985121094094300000
2010,Arch Resources,Investor-owned Company,317.06991686182764200000
2011,Arch Resources,Investor-owned Company,286.98100534326030300000
2012,Arch Resources,Investor-owned Company,260.55108081766936400000
2013,Arch Resources,Investor-owned Company,260.90176001071582400000
2014,Arch Resources,Investor-owned Company,261.32986760681007000000
2015,Arch Resources,Investor-owned Company,246.33216409358767100000
2016,Arch Resources,Investor-owned Company,176.72857054655537000000
2017,Arch Resources,Investor-owned Company,189.47644003398176800000
2018,Arch Resources,Investor-owned Company,186.08419443646901300000
2019,Arch Resources,Investor-owned Company,165.64313783113400100000
2020,Arch Resources,Investor-owned Company,119.47291740081483450000
2021,Arch Resources,Investor-owned Company,140.56548879792906800000
2022,Arch Resources,Investor-owned Company,151.31092517492187600000
1998,Banpu,Investor-owned Company,11.04627427900737000000
1999,Banpu,Investor-owned Company,14.31134634174270860000
2000,Banpu,Investor-owned Company,14.91791996152518300000
2001,Banpu,Investor-owned Company,19.97901860158518400000
2002,Banpu,Investor-owned Company,38.38473687685958200000
2003,Banpu,Investor-owned Company,60.15267377116261100000
2004,Banpu,Investor-owned Company,65.02895701144514400000
2005,Banpu,Investor-owned Company,75.60371507819972400000
2006,Banpu,Investor-owned Company,88.38204137307033000000
2007,Banpu,Investor-owned Company,87.11439728485305500000
2008,Banpu,Investor-owned Company,83.73796209661077400000
2009,Banpu,Investor-owned Company,85.52688038932862000000
2010,Banpu,Investor-owned Company,94.93351035236149000000
2011,Banpu,Investor-owned Company,93.75827396403295000000
2012,Banpu,Investor-owned Company,98.52082465060626000000
2013,Banpu,Investor-owned Company,101.41152705738210000000
2014,Banpu,Investor-owned Company,105.32108359113633000000
2015,Banpu,Investor-owned Company,97.50197052362789000000
2016,Banpu,Investor-owned Company,94.84821093707959000000
2017,Banpu,Investor-owned Company,92.11315354575821300000
2018,Banpu,Investor-owned Company,107.46995900696136700000
2019,Banpu,Investor-owned Company,101.46407141171582200000
2020,Banpu,Investor-owned Company,96.48217460686003000000
2021,Banpu,Investor-owned Company,107.59181112579845700000
2022,Banpu,Investor-owned Company,107.13203520068122200000
1968,Bapco Energies,State-owned Entity,1.11658312567537592800
1969,Bapco Energies,State-owned Entity,1.18705999050939791000
1970,Bapco Energies,State-owned Entity,1.20519303626883334000
1971,Bapco Energies,State-owned Entity,1.22098641362029140000
1972,Bapco Energies,State-owned Entity,1.14840536200020278000
